"cluster","long","lat","X","Y","meanwg.sar","num.sar","sigmawg.sar","sigmaindiv.sar","meanwg.anch","num.anch","sigmawg.anch","sigmaindiv.anch","meanwg.mack","num.mack","sigmawg.mack","sigmaindiv.mack","meanwg.jack","num.jack","sigmawg.jack","sigmaindiv.jack","meanwg.her","num.her","sigmawg.her","sigmaindiv.her","CPS.num","CPS.wg","weighted.num","weighted.wg","prop.sar","prop.sar.wg","prop.anch","prop.anch.wg","prop.mack","prop.mack.wg","prop.jack","prop.jack.wg","prop.her","prop.her.wg","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L(all)","species"
12,-124.6098,46.3339166666667,-359267.075432242,929572.138299025,0,0,1,1,0.0551767447937343,14,0.00106682381110942,5.88663948386355e-05,0,0,1,1,1.14959550729184,4,0.000379171628426782,0.000435893976011674,0.0845392390325587,3,0.00172200109128423,0.000145576651219471,21,5.4175,0.003004435385446,0.00300440010005554,0,0,0.274304294155608,0.274295727889655,0,0,0.580333966406092,0.580340814825432,0.145361739438301,0.145363457284913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
13,-124.3153,46.0017,-337991.677601489,892041.54248012,0.20590539509494,528.374201440617,0.000318187802637345,6.55165804229946e-05,0.0428197156825091,299.586529169229,0.00118595223521329,5.07843198859928e-05,0.338236284938655,975.533178286902,0.00070738175335787,0.000239262162829975,0.403512586320611,132.452257919569,0.000646775071776905,0.000260981867299419,0.0701910765946962,161.619891888758,0.00184068883645442,0.000129199921653824,2097.56605870508,593.1165,0.338688662111908,0.338688027440804,0.10220971273813,0.10220991174806,0.0449211911494025,0.0449193449199473,0.689152617905473,0.689153948082792,0.102063167347632,0.102063364346246,0.0616533108593625,0.0616534309029547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.08,0.08,0.02,0.18,0.26,0.2,0.12,0,0,0,0,0,0,1,"Scomber japonicus"
14,-124.01435,45.57715,-316410.711872636,844365.150503287,0.129353806856873,323.958117998605,0.000367088817955824,4.74843325830435e-05,0.0382860230560865,551.513691309104,0.00123835196751536,4.74136094909945e-05,0.400498691659062,18,0.000650315757585068,0.000260450595426998,0,0,1,1,0.0427917483258977,3482.30767327966,0.00222910426969883,9.53872619222464e-05,4375.77948258737,205.6485,0.378388094649351,0.378386996625889,0.0406538557516664,0.0406539766975791,0.0691069702203476,0.0691042010072647,0.0123896887454411,0.0123897253954548,0,0,0.877849485282545,0.877852096899701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0.111111111111111,0,0.333333333333333,0.444444444444444,0.0555555555555556,0,0,0,0,0,1,"Scomber japonicus"
15,-124.1504,45.1621,-329127.065416735,799177.768053958,0.167096457477842,499.87867489127,0.000347233000100479,5.802139999113e-05,0.038871287282514,11.7881355932203,0.00123372127868046,4.79583951724351e-05,0.361142113840904,225.977610980332,0.000686011316467263,0.000247747563011258,0.399482733622168,1610.6210233886,0.000643666620135144,0.000257133686488421,0.0768559354593911,1329.31723856373,0.00179140749362793,0.000137680288638532,3677.58268341716,945.2035,0.682720105400808,0.682720123065059,0.0424825053685435,0.0424825073775585,0.000828070040201924,0.000828034434017347,0.082003447639228,0.0820034501304538,0.606610114457566,0.606610132886093,0.268075862494461,0.268075875171877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248491021063601,0.00557341199583179,0.0359959260980236,0.0745473063190802,0.204366228846712,0.248491021063601,0.309336049267984,0.0912675423065755,0.00557341199583179,0,0,0,0,0,1,"Scomber japonicus"
16,-124.984716666667,44.8241166666667,-397189.960450474,765170.222135914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
17,-124.281883333333,44.5104166666667,-342790.385658745,727869.812632597,0.19505851014118,96,0.000326720198950691,6.37295505776586e-05,0,0,1,1,0,0,1,1,0.421736287252763,495.097565832047,0.000616843889301899,0.00026014543705481,0.0631327183714293,18,0.00191264901648308,0.000120750722866442,609.097565832047,235.306,0.137088922515202,0.137088930367064,0.0446282364993918,0.0446282372084479,0,0,0,0,0.939516995867177,0.93951699490622,0.015854767633431,0.0158547678853325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
18,-124.639333333333,44.2721333333333,-372670.790185207,702949.376184299,0.0711367406946949,461.065946779792,0.000494192850230264,3.51552660679113e-05,0.0385684938390361,25,0.00123825145659734,4.77595460520798e-05,0.383515866095286,1,0.000666745850468889,0.000255707597923728,0.379041824027385,51,0.000668829416270485,0.000253514307645429,0.0644735311043927,28,0.00190946927484811,0.000123110217677596,566.065946779792,55.345,0.0340349080680123,0.0340348589383801,0.476243273568026,0.476243995873372,0.0350812950314434,0.0350798381164271,0.00751309794675352,0.0075131092146135,0.379881434205148,0.379882003936947,0.101280899248629,0.101281052858641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Scomber japonicus"
19,-124.797533333333,43.9853666666667,-386969.888381224,671954.267749299,0.192616621059684,15,0.00031834697869418,6.13189148743103e-05,0,0,1,1,0.356305024102234,5,0.000685106417250463,0.000244106844779311,0.361883511883934,188.281652290844,0.000682302035903228,0.000246913843028607,0.0820199679825152,535.217171717172,0.00174128669215751,0.000142820268289872,743.498824008016,116.4935,0.125069524343912,0.125069532687652,0.00735417942891876,0.00735417947636015,0,0,0.00975884597226393,0.00975884587018699,0.371708028656711,0.371708024768667,0.611178945942107,0.611178949884786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.4,0,0.2,0,0,0,0,0,1,"Scomber japonicus"
20,-125.9997,43.47215,-487407.603187208,620864.781894312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
21,-124.537066666667,43.5432333333333,-368314.587640022,622112.157946602,0.214097304896641,48,0.000312971378593395,6.7006323764198e-05,0,0,1,1,0.317798866724027,19,0.000728424572540735,0.000231492490625263,0.314093442470809,323.156989568219,0.000733301771107826,0.000230325264700742,0,0,1,1,390.156989568219,121.453,0.0820458800247564,0.082045884694463,0.0392012803045201,0.0392012809414607,0,0,0.0536085092944684,0.0536085092589298,0.907190210401011,0.907190209799609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0.0526315789473684,0,0.0526315789473684,0.105263157894737,0,0.0526315789473684,0.210526315789474,0.263157894736842,0.157894736842105,0.0526315789473684,0,0,0,0,0,0,1,"Scomber japonicus"
