"cluster","long","lat","X","Y","meanwg.sar","num.sar","sigmawg.sar","sigmaindiv.sar","meanwg.anch","num.anch","sigmawg.anch","sigmaindiv.anch","meanwg.mack","num.mack","sigmawg.mack","sigmaindiv.mack","meanwg.jack","num.jack","sigmawg.jack","sigmaindiv.jack","meanwg.her","num.her","sigmawg.her","sigmaindiv.her","CPS.num","CPS.wg","weighted.num","weighted.wg","prop.sar","prop.sar.wg","prop.anch","prop.anch.wg","prop.mack","prop.mack.wg","prop.jack","prop.jack.wg","prop.her","prop.her.wg","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L(all)","species"
43,-121.5588,35.56955,-141138.424267195,-270776.165241535,0.0479816386303026,10,0.000628995113936805,3.01802140490441e-05,0.0210092063779918,3428.42951750237,0.00158163453778402,3.32303144294487e-05,0,0,1,1,0,0,1,1,0,0,1,1,3438.42951750237,73.048,0.114229593006297,0.114224697194738,0.00264206614544975,0.00264217958097875,0.99735793385455,0.997357820419021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
44,-122.5244,34.608,-231392.535624546,-375623.792572719,0,0,1,1,0,0,1,1,0,0,1,1,0.467489688678606,5,0.000550957442989531,0.000257566909009459,0,0,1,1,5,2.413,0.0012878345450473,0.00128783461749168,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
45,-121.242216666667,35.2259666666667,-112975.842778182,-309356.386874144,0,0,1,1,0.0149994235227468,6533.73207712575,0.0018152408838961,2.72287369173836e-05,0,0,1,1,0,0,1,1,0,0,1,1,6533.73207712575,110.466,0.177905271816727,0.177897626670553,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
46,-120.787033333333,34.5141666666667,-72235.5028638487,-388818.966540049,0,0,1,1,0.00763939652389779,20255.8252617571,0.00236425975394581,1.80622939391703e-05,0,0,1,1,0,0,1,1,0,0,1,1,20255.8252617571,160.8645,0.365866669858328,0.365850947422772,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
47,-120.905883333333,34.915,-82718.3615513126,-344230.10326775,0,0,1,1,0.00850868042920078,103576.337842752,0.0022645566895057,1.92692172433689e-05,0,0,1,1,0,0,1,1,0,0,1,1,103576.337842752,1011.3855,1.99583495516455,1.9957491878918,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
48,-120.971633333333,34.18915,-89547.5270943818,-424724.975681624,0,0,1,1,0.00692982503866676,10,0.00247647482012991,1.71622747328079e-05,0.0075341464418193,165.34328358209,0.00487844239308624,3.67548973299227e-05,0.00495805014019974,101.040380047506,0.00595058171450672,2.95032808442358e-05,0,0,1,1,276.383663629596,1.384,0.00922982086872997,0.00922981400311316,0,0,0.0185943746654419,0.0185935894378538,0.658428316072858,0.658428842884673,0.3229773092617,0.322977567677473,0,0,0,0,0,0,0,0,0.245080339411446,0.422097851597761,0.0378227116808088,0.175482939158693,0.119516158151291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
49,-119.835266666667,34.27905,15165.0562023981,-415196.225699093,0.0148446518982309,4.93333333333333,0.00108842412889909,1.61572761290153e-05,0.0118182405198919,84771.7967094367,0.00199395541763302,2.35660574187512e-05,0,0,1,1,0,0,1,1,0,0,1,1,84776.7300427701,975.6585,1.9978167379742,1.99773088896923,3.98981685296961e-05,3.98998860032124e-05,0.99996010183147,0.999960100113997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
50,-120.653866666667,33.815,-60548.3622742008,-466476.687158983,0,0,1,1,0.00870585248776388,365.731573157316,0.00227440779533237,1.9801509696012e-05,0.00826018681572025,8,0.00463728830754129,3.83048655838877e-05,0.0178575729521361,4,0.00291819911599809,5.21119506713483e-05,0,0,1,1,377.731573157316,3.444,0.00775692401936882,0.00775661283533078,0,0,0.933622306204001,0.933619639493275,0.0395052115897915,0.0395067987038574,0.0268724822062076,0.0268735618028679,0,0,0,0,0,0,0,0,0.25,0.375,0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
51,-119.295433333333,34.0695166666667,65033.3362795656,-438214.076417285,0.0526101021745836,2201.31164742917,0.000602323057523159,3.16882752799679e-05,0.00445388718588141,18158.5881245153,0.00297025572673053,1.32297524439328e-05,0.123428147351422,270.327760304585,0.00118446613465843,0.00014619645237742,0.0299649634204627,1,0.00246541764523249,7.38761453998097e-05,0,0,1,1,20631.2275322491,214.453,0.349584230760475,0.349573914500837,0.199539233531761,0.199545136724331,0.687198118450821,0.687188866397942,0.113051322279873,0.113054664891869,0.000211325737545718,0.000211331985857823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.1,0.16,0.26,0.22,0.2,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
52,-119.946083333333,33.5897833333333,5006.95002649449,-491657.07807542,0.0442606326806726,3,0.000600578658248138,2.6581989443734e-05,0.00667654484402875,4224.88227065108,0.00245646481779254,1.64014023333471e-05,0,0,1,1,0.0167867011277756,1,0.00331875549362125,5.57109534536825e-05,0,0,1,1,4228.88227065108,27.546,0.0694294508537581,0.0694264730829948,0.00114858993338683,0.00114863928159486,0.998048999090167,0.998048915280611,0,0,0.000802410976446127,0.00080244543779409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
53,-119.216783333333,33.8057333333333,72534.4728516865,-467413.533287352,0.0529369830845044,142.148295003965,0.000597713114223482,3.16411267020514e-05,0.00576671261182079,22443.5647208382,0.0026089704802331,1.50458295386002e-05,0.0678829960130424,41,0.00161068195018324,0.000109337910251997,0.0330999996056644,162.925314895889,0.00232189615351337,7.68547574423856e-05,0,0,1,1,22789.638330738,136.554,0.359184221118853,0.359169711150259,0.0125220762724228,0.0125225830634988,0.940136089431763,0.940133667431648,0.0124806549306867,0.0124811598342987,0.0348611793651273,0.0348625896705542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0.024390243902439,0.219512195121951,0.317073170731707,0.317073170731707,0,0.0975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
54,-118.505733333333,33.79195,138405.453829683,-468150.951955814,0.0148074997010742,34.6067214388855,0.00107864860983696,1.5972087799147e-05,0.00567756143507396,170046.848969188,0.00263684119730487,1.49714712631965e-05,0.0311349951317845,1.2,0.00241744965071418,7.52672788723199e-05,0.0137131427974881,4.10526315789474,0.00368098647218479,5.04778902891657e-05,0,0,1,1,170086.760953784,880.4925,2.5467018000905,2.54659239694252,0.000217042133964353,0.000217051474105861,0.999666122138378,0.999666107772331,3.54657677799475e-05,3.5467293405896e-05,8.13699598771243e-05,8.13734601572534e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
55,-118.6075,33.3153833333333,129756.061573636,-521122.99565998,0.0144634207199594,23.2,0.00107076807996923,1.54869681010133e-05,0.00664838016751632,175603.609219051,0.0025200942532269,1.6755264679574e-05,0.0513021269213196,11.8,0.00184394091290084,9.45980854276391e-05,0.0382256396897529,82.2131661442006,0.00216302822176817,8.26831327929136e-05,0,0,1,1,175720.822385195,940.135,2.9505581483553,2.95043170963637,0.000121772777175664,0.000121778004573899,0.997196056886312,0.997195936565465,0.0003783207623508,0.000378336996309058,0.0023038495741614,0.00230394843365192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576271186440678,0,0.0847457627118644,0.0847457627118644,0.169491525423729,0.0847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
56,-117.94175,33.3638333333333,191667.298865897,-514625.374876253,0.0143497028338587,123.620362381363,0.0010894213449729,1.56328714174643e-05,0.00428179044815231,66851.8254724892,0.00301570000540408,1.29131503961083e-05,0.0347601218122525,21.6,0.00227331992029006,7.9020872902352e-05,0.0232947293649064,23.625,0.00251837201504812,5.86647912306374e-05,0,0,1,1,67020.6708348706,271.944,0.868293024357837,0.868255927360086,0.00222567863091776,0.00222577388783974,0.994212382644765,0.994212135000502,0.00196575442484193,0.00196583852401181,0.00159618429947519,0.00159625258764632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.37037037037037,0.231481481481481,0.231481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
57,-117.751783333333,33.16605,209873.826758331,-536136.609264757,0.0230857397644858,76.085910652921,0.000858880983513663,1.98279014233783e-05,0.00401535068207657,68351.2117034698,0.0030856807850914,1.23906229089225e-05,0.0244578212340897,1,0.00273609537127828,6.69189277057628e-05,0.0168812600844235,66.1010656031215,0.00269160507332726,4.54376827313915e-05,0,0,1,1,68494.3986797258,237.713,0.851493111696542,0.851456717431317,0.00177173944851798,0.00177181530854781,0.994622361534085,0.994622131342353,7.85900987178056e-05,7.85934623571074e-05,0.00352730891867968,0.00352745988674184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
58,-118.938433333333,32.6206333333333,99782.2360645481,-598481.322563456,0.0383006733641152,1,0.000699761603433238,2.68013386449595e-05,0.00459363920142219,6030.3871746327,0.00295115081455245,1.3557104662243e-05,0,0,1,1,0.00786806771642264,16,0.00477945705722301,3.76050896585705e-05,0,0,1,1,6047.3871746327,27.4115,0.0823830728535255,0.0823795596387968,0.00032532579468857,0.000325339692556743,0.992371214723933,0.992370888946907,0,0,0.00730345948137791,0.00730377136053628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
59,-117.7095,32.9009333333333,214529.809318196,-565405.807705394,0.0171862320092023,5,0.000986473366285857,1.69537589034869e-05,0.00379659770253024,29143.5909288246,0.00316093956735454,1.20013316340262e-05,0.00986330678512777,2,0.00387442029737433,3.82145938578485e-05,0.0954299475267503,6,0.0010998069032559,0.000104954509163276,0,0,1,1,29156.5909288246,104.4445,0.350552824780434,0.350537794463165,0.000241814609739713,0.000241824995930204,0.997743777880814,0.99774368100778,0.000218024737822518,0.00021803409852597,0.00179638277162388,0.0017964598977637,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
60,-118.269216666667,32.24405,163440.745621778,-639233.616649488,0,0,1,1,0.00408848374329962,14806.3247863248,0.00308926071882426,1.26309350185255e-05,0,0,1,1,0.0270583886847305,20,0.00206758871947432,5.5945616064599e-05,0,0,1,1,14826.3247863248,58.455,0.188136638560543,0.188128601886633,0,0,0.994052661247416,0.994052406848224,0,0,0.00594733875258384,0.00594759315177533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
61,-117.3893,32.8666666666667,244617.351661016,-568424.817195348,0.0199802836990842,183.578947368421,0.000939498547366883,1.87714461378784e-05,0.00695818087732674,22041.7300744047,0.00248194226577473,1.72705453817152e-05,0.0414723549574143,8,0.00203656127435776,8.44609873115161e-05,0.0584818499696643,4,0.001749369095106,0.000102306335206531,0,0,1,1,22237.3090217732,137.216,0.385203655103418,0.385187296719595,0.00894602706106085,0.00894640764129023,0.988237506311625,0.988237005961424,0.00175410562579092,0.00175418021896343,0.00106236100152336,0.00106240617832246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.125,0.25,0,0.25,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scomber japonicus"
